City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,axim,4.8699,-2.2405,296.73,89,98,3.28,GH,2024-09-01
259,fisterra,42.9049,-9.2629,291.61,94,100,2.58,ES,2024-09-01
260,vila franca do campo,37.7167,-25.4333,296.38,75,77,3.75,PT,2024-09-01
261,revda,56.801,59.9303,278.92,84,13,2.72,RU,2024-09-01
262,rehoboth,-23.3167,17.0833,292.71,22,9,4.28,NA,2024-09-01
263,nasriganj,25.05,84.3333,300.43,82,100,3.36,IN,2024-09-01
264,tolanaro,-25.0319,46.9987,292.19,94,75,9.26,MG,2024-09-01
265,nahiyat ash shinafiyah,31.5874,44.6602,307.65,21,0,4.56,IQ,2024-09-01
266,zile,40.3031,35.8864,293.81,77,94,1.83,TR,2024-09-01
267,kardla,58.9978,22.7492,284.92,86,100,1.87,EE,2024-09-01
268,mount isa,-20.7333,139.5,287.02,72,0,1.54,AU,2024-09-01
269,villa canas,-34.0057,-61.6076,289.23,10,0,3.11,AR,2024-09-01
270,touros,-5.1989,-35.4608,297.28,68,46,6.65,BR,2024-09-01
271,pathein,16.7833,94.7333,299.03,92,100,2.35,MM,2024-09-01
272,antalaha,-14.9003,50.2788,292.01,85,5,3.4,MG,2024-09-01
273,broken hill,-31.95,141.4333,284.57,74,10,7.85,AU,2024-09-01
274,malango,-2.9627,119.9001,291.54,98,78,0.97,ID,2024-09-01
275,utrik,11.2278,169.8474,301.13,78,11,4.32,MH,2024-09-01
276,lowestoft,52.4752,1.7516,292.62,88,69,4.97,GB,2024-09-01
277,alaghsas,17.0187,8.0168,302.83,56,100,5.72,NE,2024-09-01
278,merizo village,13.2658,144.6691,300.36,95,100,4.63,GU,2024-09-01
279,callao,-12.0667,-77.15,291.31,72,40,5.14,PE,2024-09-01
280,saldanha,-33.0117,17.9442,286.18,77,2,3.54,ZA,2024-09-01
281,mkushi,-13.6202,29.3939,286.48,78,8,1.61,ZM,2024-09-01
282,curuzu cuatia,-29.7917,-58.0546,288.36,73,67,3.28,AR,2024-09-01
283,vazante,-17.9869,-46.9078,299.38,19,23,2.01,BR,2024-09-01
284,wenatchee,47.4235,-120.3103,310.3,21,32,0.89,US,2024-09-01
285,brisas de zicatela,15.8369,-97.0419,303.4,69,45,3.18,MX,2024-09-01
286,chiredzi,-21.05,31.6667,288.27,38,0,1.46,ZW,2024-09-01
287,patterson,37.4716,-121.1297,303.12,17,0,2.46,US,2024-09-01
288,tartagal,-22.5164,-63.8013,297.69,27,25,2.41,AR,2024-09-01
289,qeshm,26.9581,56.2719,302.91,79,16,5.06,IR,2024-09-01
290,sullivan,36.5168,-82.5332,299.01,88,100,1.77,US,2024-09-01
291,igrim,63.1906,64.4162,287.78,90,99,5.3,RU,2024-09-01
292,rongelap,11.1635,166.8941,301.47,70,44,4.77,MH,2024-09-01
293,katsuura,35.1333,140.3,300.22,88,30,7.77,JP,2024-09-01
294,victorica,-36.2151,-65.4359,293.18,28,70,9.68,AR,2024-09-01
295,khandyga,62.6667,135.6,279.87,99,100,1.42,RU,2024-09-01
296,wajir,1.7471,40.0573,299.23,52,61,9.28,KE,2024-09-01
297,arkhangel'sk,64.5401,40.5433,290.21,88,40,2.0,RU,2024-09-01
298,franklin,39.9667,-83.0166,305.5,38,20,8.23,US,2024-09-01
299,valparaiso,-33.0393,-71.6273,297.28,49,0,5.14,CL,2024-09-01
300,zuyevka,58.405,51.1335,283.76,68,64,2.7,RU,2024-09-01
301,holualoa,19.6228,-155.9522,301.41,73,20,3.09,US,2024-09-01
302,ketchikan,55.3422,-131.6461,289.45,82,100,3.6,US,2024-09-01
303,pathardi,19.1667,75.1833,294.93,96,100,5.38,IN,2024-09-01
304,katsuren-haebaru,26.3369,127.8719,300.58,84,0,2.57,JP,2024-09-01
305,naze,28.3667,129.4833,295.66,74,82,1.78,JP,2024-09-01
306,plymouth,41.8334,-70.8328,297.67,90,100,0.45,US,2024-09-01
307,mejit,10.2753,170.8646,301.24,79,18,3.76,MH,2024-09-01
308,ailuk,10.2197,169.9797,301.43,78,7,4.65,MH,2024-09-01
309,namsos,64.4662,11.4957,281.1,93,0,1.03,NO,2024-09-01
310,crane,31.3974,-102.3501,303.86,34,83,5.45,US,2024-09-01
311,okha,53.5739,142.9478,285.09,74,2,6.51,RU,2024-09-01
312,hamilton,39.1834,-84.5333,304.93,43,0,6.26,US,2024-09-01
313,paraiso,9.8383,-83.8656,296.21,65,100,1.28,CR,2024-09-01
314,nagqu,31.5,92.0,277.47,86,91,0.7,CN,2024-09-01
315,rockdale,33.6501,-84.0166,306.8,55,40,0.0,US,2024-09-01
316,lerwick,60.1545,-1.1494,285.57,91,7,5.65,GB,2024-09-01
317,shar,49.5886,81.0453,284.66,81,99,1.65,KZ,2024-09-01
318,nyurba,63.2842,118.3319,279.55,92,44,1.27,RU,2024-09-01
319,haiku-pauwela,20.9219,-156.3051,303.16,69,40,6.69,US,2024-09-01
320,tokonou,9.65,-9.7833,294.56,97,96,2.61,GN,2024-09-01
321,margate,51.3813,1.3862,292.42,87,10,3.72,GB,2024-09-01
322,meadow lake,34.8014,-106.5436,303.03,24,55,6.76,US,2024-09-01
323,taoudenni,22.6783,-3.9836,309.57,25,56,7.46,ML,2024-09-01
324,kolonia,50.9333,6.95,299.24,66,0,3.09,DE,2024-09-01
325,cristalina,-16.7686,-47.6136,297.15,20,10,2.43,BR,2024-09-01
326,kamaishi,39.2667,141.8833,297.08,98,93,3.11,JP,2024-09-01
327,quthing,-30.4,27.7003,286.13,52,1,0.51,LS,2024-09-01
328,richards bay,-28.783,32.0377,291.0,58,0,2.66,ZA,2024-09-01
329,cascais,38.6979,-9.4215,294.29,83,40,7.2,PT,2024-09-01
330,tsiombe,-25.3,45.4833,291.7,78,25,6.31,MG,2024-09-01
331,tazovsky,67.4667,78.7,279.67,97,100,4.56,RU,2024-09-01
332,tezu,27.9167,96.1667,298.73,80,100,0.66,IN,2024-09-01
333,imbituba,-28.24,-48.6703,289.2,92,88,3.57,BR,2024-09-01
334,lorengau,-2.0226,147.2712,300.77,77,99,3.2,PG,2024-09-01
335,vorkuta,67.5,64.0,280.48,95,100,4.16,RU,2024-09-01
336,carnarvon,-24.8667,113.6333,291.13,42,0,6.13,AU,2024-09-01
337,thinadhoo,0.5333,72.9333,301.18,74,80,2.68,MV,2024-09-01
338,hilo,19.7297,-155.09,301.0,89,100,6.17,US,2024-09-01
339,colonia,50.9333,6.95,299.24,66,0,3.09,DE,2024-09-01
340,lewistown,40.5992,-77.5714,302.82,70,20,4.63,US,2024-09-01
341,coahuayana de hidalgo,18.7,-103.6583,302.91,77,79,1.99,MX,2024-09-01
342,kirensk,57.7853,108.1119,286.09,99,100,1.34,RU,2024-09-01
343,luderitz,-26.6481,15.1594,294.65,39,0,2.2,NA,2024-09-01
344,sur,22.5667,59.5289,301.66,81,100,7.62,OM,2024-09-01
345,kugesi,56.029,47.2925,285.96,88,0,2.0,RU,2024-09-01
346,omdurman,15.6445,32.4777,303.15,56,100,5.92,SD,2024-09-01
